0.00    69.1    1.3 
0.07    70.4    20
0.07 	69.0	19.6
0.09 	70.4 	12.2 
0.10	70.4 	12.2 
0.120	68.6	26.2 
0.12	70.0	26.7 
0.170	83.0	8
0.170	84.7	8.2 
0.179	76.5	4
0.1791	75.0	4
0.199	76.5	5.1 
0.1993	75.0	5 
0.200	72.9	29.6 
0.20	74.4	30.2 
0.24	81.5	2.7
0.27	78.6	14.3
0.27	77.0	14.0 
0.280	88.8	36.3
0.28 	90.6	37.3 
0.35 	84.4	8.6
0.3519 	83.0 	14 
0.352 	84.7	14.3
0.38 	81.5	1.9 
0.3802 	83.0	13.5 
0.3802 	84.7	14.1 
0.40 	95.0 	17 
0.40 	96.9 	17.3 
0.4004 	77.0 	10.2 
0.4004 	78.6 	10.4 
0.4247 	87.1 	11.2 
0.4247 	88.9 	11.4 
0.43 	88.3 	3.8 
0.44 	84.3 	7.9 
0.4497 	92.8 	12.9 
0.4497 	94.7 	13.1
0.470 	89.0 	34.0 
0.47 	90.8 	50.6 
0.4783 	80.0 	99.0 
0.4783 	82.5 	9.2 
0.48 	99.0 	63.2
0.51 	90.8 	1.9
0.57 	98.8 	3.4 
0.593 	104.0 	13.0 
0.593 	106.1 	13.3 
0.60 	89.7 	6.2 
0.61 	97.8 	2.1
0.64 	98.82 	2.98 
0.6797 	92.0 	8
0.68 	93.9 	8.1
0.73 	99.3 	7.1 
0.7812 	105.0 	12 
0.781 	107.1 	12.2
0.875 	127.6 	17.3 
0.8754 	125.0 	17 
0.88 	91.8 	40.8 
0.880 	90.0 	40 
0.90 	69.0 	12 
0.90 	119.4 	23.4 
0.900 	117.0 	23 
1.037 	157.2 	20.4 
1.037 	154.0 	20 
1.30 	171.4 	17.3 
1.300 	168.0 	17 
1.363 	160.0 	33.6 
1.363 	163.3 	34.3 
1.430 	177.0 	18 
1.43 	180.6 	18.3 
1.530 	140.0 	14 
1.53 	142.9 	14.2
1.750 	202.0 	40 
1.75 	206.1 	40.8
1.965 	186.5 	50.4 
1.965	190.3	51.4
2.30 	228.0 	8.1 
2.34 	226.5 	7.1 
2.36 	230.6 	8.2
